#x;y;rot;heading;speed;rrot;x';y';heading'
24.259;254.915;7.710;16.448;1;20;24.542;255.874;16.577
24.542;255.874;7.740;16.577;1;20;24.827;256.832;16.706
24.827;256.832;7.770;16.706;1;20;25.115;257.790;16.835
25.115;257.790;7.800;16.835;1;20;25.404;258.747;16.965
25.404;258.747;7.830;16.965;1;20;25.696;259.704;17.096
25.696;259.704;7.860;17.096;1;20;25.990;260.659;17.227
25.990;260.659;7.890;17.227;1;20;26.286;261.615;17.358
26.286;261.615;7.920;17.358;1;20;26.585;262.569;17.490
26.585;262.569;7.950;17.490;1;20;26.885;263.523;17.623
26.885;263.523;7.980;17.623;1;20;27.188;264.476;17.756
27.188;264.476;8.010;17.756;1;20;27.493;265.428;17.889
27.493;265.428;8.040;17.889;1;20;27.800;266.380;18.023
27.800;266.380;8.070;18.023;1;20;28.110;267.331;18.158
28.110;267.331;8.100;18.158;1;20;28.421;268.281;18.293
28.421;268.281;8.130;18.293;1;20;28.735;269.230;18.428
28.735;269.230;8.160;18.428;1;20;29.051;270.179;18.564
29.051;270.179;8.190;18.564;1;20;29.369;271.127;18.701
29.369;271.127;8.220;18.701;1;20;29.690;272.074;18.838
29.690;272.074;8.250;18.838;1;20;30.013;273.021;18.975
30.013;273.021;8.280;18.975;1;20;30.338;273.966;19.113
30.338;273.966;8.310;19.113;1;20;30.666;274.911;19.252
30.666;274.911;8.340;19.252;1;20;30.995;275.855;19.391
30.995;275.855;8.370;19.391;1;20;31.327;276.799;19.530
31.327;276.799;8.400;19.530;1;20;31.662;277.741;19.670
31.662;277.741;8.430;19.670;1;20;31.998;278.683;19.811
31.998;278.683;8.460;19.811;1;20;32.337;279.624;19.952
32.337;279.624;8.490;19.952;1;20;32.678;280.564;20.093
32.678;280.564;8.520;20.093;1;20;33.022;281.503;20.235
33.022;281.503;8.550;20.235;1;20;33.368;282.441;20.378
33.368;282.441;8.580;20.378;1;20;33.716;283.378;20.521
33.716;283.378;8.610;20.521;1;20;34.067;284.315;20.664
34.067;284.315;8.640;20.664;1;20;34.419;285.251;20.808
